iata,icao,name,lat,lon
WNU,AYWH,Wanuma Airport,-4.8961,145.3213
WBC,AYWJ,Wapolu Airport,-9.3376,150.5093
WWK,AYWK,Wewak International Airport,-3.5838,143.6690
WOA,AYWO,Wonenara Airport,-6.7969,145.8919
WKN,AYWQ,Wakunai Airport,-5.8603,155.2223
WSU,AYWS,Wasu Airport,-5.9617,147.1982
WTP,AYWT,Woitape Airport,-8.5458,147.2525
WUG,AYWU,Wau Airport,-7.3456,146.7186
YVD,AYXE,Yeva Airport,-7.5480,146.1880
SMJ,AYXI,Sim Airport,-7.7500,146.9273
TLO,AYXO,Tol Airport,-4.9808,152.0100
WPM,AYXP,Wipim Airport,-8.7882,142.8820
WEP,AYXW,Weam Airport,-8.6184,141.1381
AYY,AYY,Arugam Bay SPB,6.8600,81.8239
KYX,AYYE,Yalumet Airport,-6.0900,147.0117
YEQ,AYYK,Yenkis(Yankisa) Airport,-5.1097,143.9177
TCK,AYYL,Tinboli Airport,-4.0949,143.3838
LNF,AYYM,Munbil Airport,-4.8559,141.2202
RAX,AYYO,Oram Airport,-9.6329,148.0481
KPE,AYYP,Yapsiei Airport,-4.6281,141.0942
KSX,AYYR,Yasuru Airport,-6.6015,146.1813
ZEN,AYZA,Zenag Airport,-6.9522,146.6163
SWR,AYZI,Silur Airport,-4.5299,153.0544
WUM,AYZM,Wasum Airport,-6.0491,149.3370
SIZ,AYZN,Sissano Airport,-2.9994,142.0445
OSG,AYZS,Ossima Airport,-2.9156,141.2973
ZXT,UBTT,Zabrat Airport,40.4949,49.9771
HAE,AZ15,Lava Falls Heliport,36.1916,-113.0920
AZB,AZB,Amazon Bay Airport,-10.2992,149.3383
BAJ,BAJ,Bali Airport,-4.8833,149.1333
BCW,BCW,Benguera Island Airport,-21.8533,35.4383
BCZ,BCZ,Milyakburra Airport,-13.7808,136.2017
JAM,BG-JAM,Bezmer Air Base,42.4549,26.3522
JEG,BGAA,Aasiaat Airport,68.7218,-52.7847
AOQ,BGAG,Aappilattoq Heliport,72.8870,-55.5963
